Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52
Time,Extracellular.Covid,Extracellular.ACE2,Extracellular.ACE2:Covid,Extracellular.SARS_CoV_2,Cell.Covid_transcribed,Cell.ribosome,Cell.Ribosome:Covid,Cell.nsp1,Cell.S,Cell.MDA5,Cell.d_IRF37_p,Cell.early_RNA,Cell.IFN_1,Cell.early_ISG_product,Cell.d_STAT12_p,Cell.IRF9,Cell.ISGF3,Cell.ISG_RNA,Cell.ISG_product,Cell.MDA5:dsRNA,Cell.SARS_CoV_2,Cell.OAS_1_mRNA,Cell.pppa(2'p5'A)n,Cell.RNaseL_act,Cell.RNaseL_inact,Cell.PKR_mRNA,Cell.PKR_act,Cell.EIF2a,Cell.EIF2a_act,Cell.Covid_local,Cell.ribosome:early_RNA,Cell.Ribosome:OAS_1_mRNA,Cell.OAS_1,Cell.Ribosome:PKR_mRNA,Cell.PKR_inac,Cell.Ribosome:ISG_RNA,Cell.nsp8,Cell.nsp9,Cell.nsp16,Cell.dsRNA_frag,Cell.E,Cell.M,Cell.N,Nucelus.d_IRF37_p,Nucelus.Early_ISG_RNA,Nucelus.ISGF3,Nucelus.ISG_RNA,Nucelus.OAS_1_mRNA_nuc,Nucelus.PKR_mRNA_Nuc,BU2.trans1_B,BU2.trans1_U
0,0,50,1,0,0,1000,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
2.529822128e-08,2.52981932e-08,50,0.9999999494,9.036025549e-142,5.400727776e-16,1000,1.152985486e-20,2.461475271e-28,2.461475271e-28,1,2.461475586e-31,0.9999747023,5.400728237e-13,5.400728353e-13,1.152985782e-20,1,2.461475797e-28,2.39497603e-51,1.091551967e-63,1.152985658e-23,4.232586309e-134,0.9999747023,1.152985708e-23,6.227095672e-39,2.529822074e-08,0.9999747023,1.152985679e-23,2.529822074e-08,6.226962735e-39,2.529821966e-08,2.529768013e-05,2.529768013e-05,1,2.529768013e-05,0.9999999747,5.112964639e-56,2.461475271e-28,2.461475271e-28,2.461475271e-28,0,2.461475271e-28,2.461475271e-28,2.461475271e-28,5.25493272e-39,1.12186032e-46,5.254932945e-36,1.121860368e-43,1,1,1,1
5.059644256e-08,5.059635393e-08,50,0.9999998988,2.552123149e-138,1.704520069e-15,1000,4.971916939e-20,1.346015748e-27,1.346015748e-27,1,1.346015957e-30,0.9999494053,1.704520268e-12,1.704520318e-12,4.971918555e-20,1,1.346016096e-27,2.140308469e-50,1.227875397e-62,4.971917882e-23,1.194956763e-130,0.9999494053,4.971918151e-23,6.090436393e-38,5.059644086e-08,0.9999494053,4.971917933e-23,5.059644086e-08,6.090290842e-38,5.059643745e-08,5.059473463e-05,5.059473463e-05,1,5.059473463e-05,0.9999999494,5.160401368e-55,1.346015748e-27,1.346015748e-27,1.346015748e-27,1.168374701e-60,1.346015748e-27,1.346015748e-27,1.346015748e-27,3.481102656e-38,8.728707972e-46,3.48110283e-35,8.7287084e-43,1,1,1,1
7.589466384e-08,7.58944815e-08,50,0.9999998482,5.546097998e-136,3.5064892e-15,1000,1.3054021e-19,4.304590213e-27,4.304590213e-27,1,4.304591001e-30,0.9999241088,3.506489722e-12,3.506489853e-12,1.305402617e-19,1,4.304591526e-27,1.053909376e-49,7.462533142e-62,1.305402402e-22,2.584040901e-128,0.9999241088,1.305402488e-22,2.80948719e-37,7.589466034e-08,0.9999241088,1.305402406e-22,7.589466034e-08,2.809410477e-37,7.589465332e-08,7.589115034e-05,7.589115034e-05,1,7.589115034e-05,0.9999999241,2.838581535e-54,4.304590213e-27,4.304590213e-27,4.304590213e-27,1.721149697e-59,4.304590213e-27,4.304590213e-27,4.304590213e-27,1.313227309e-37,3.795198301e-45,1.313227385e-34,3.795198512e-42,1,1,1,1
3.288768767e-07,3.288728971e-07,50,0.9999993423,5.544767783e-121,7.65142113e-14,1000,1.659148167e-17,3.550990759e-24,3.550990759e-24,1,3.55099531e-27,0.9996711997,7.651427762e-11,7.651429421e-11,1.659152428e-17,1,3.550998341e-24,3.455884428e-44,1.575080059e-54,1.659150653e-20,2.597238419e-114,0.9996711998,1.659151363e-20,1.16553048e-33,3.288768001e-07,0.9996711998,1.659150824e-20,3.288768001e-07,1.165281583e-33,3.288766471e-07,0.0003288002093,0.0003288002093,1,0.0003288002093,0.9999996712,7.377870738e-48,3.550990759e-24,3.550990759e-24,3.550990759e-24,1.086879164e-54,3.550990759e-24,3.550990759e-24,3.550990759e-24,7.583735218e-34,1.619112864e-40,7.583738452e-31,1.619113554e-37,1,1,1,1
5.818590895e-07,5.818480578e-07,50,0.9999988363,9.851368424e-118,2.120858562e-13,1000,6.443880373e-17,1.786154612e-23,1.786154612e-23,1,1.786157426e-26,0.9994183532,2.120861137e-10,2.120861781e-10,6.443901802e-17,1,1.786159301e-23,2.936069574e-43,1.702359566e-53,6.443892877e-20,4.611501185e-111,0.9994183534,6.443896451e-20,9.352014261e-33,5.818588773e-07,0.9994183534,6.443893193e-20,5.818588773e-07,9.34972738e-33,5.81858453e-07,0.0005816465791,0.0005816465791,1,0.0005816465791,0.9999994184,7.121095708e-47,1.786154612e-23,1.786154612e-23,1.786154612e-23,2.481645733e-52,1.786154612e-23,1.786154612e-23,1.786154612e-23,4.689963565e-33,1.188434447e-39,4.689965938e-30,1.188435034e-36,1,1,1,1
8.348413023e-07,8.34819902e-07,50,0.9999983303,1.640473211e-115,4.113904566e-13,1000,1.597348872e-16,5.419702119e-23,5.419702119e-23,1,5.419712245e-26,0.9991655705,4.113910949e-10,4.113912546e-10,1.597355374e-16,1,5.419718989e-23,1.390749429e-42,1.001512878e-52,1.597352666e-19,7.630836173e-109,0.9991655709,1.597353751e-19,3.909935104e-32,8.348408907e-07,0.9991655709,1.597352649e-19,8.348408907e-07,3.908838352e-32,8.348400676e-07,0.0008344290881,0.0008344290882,1,0.0008344290882,0.9999991656,3.780833601e-46,5.419702119e-23,5.419702119e-23,5.419702119e-23,2.977973954e-51,5.419702119e-23,5.419702119e-23,5.419702119e-23,1.687413897e-32,4.951103265e-39,1.687414886e-29,4.951106042e-36,1,1,1,1
3.36466343e-06,3.364361537e-06,50,0.999993271,4.602302502e-103,5.797084345e-12,1000,8.960562021e-15,1.362451641e-20,1.362451641e-20,1,1.362464057e-23,0.9966411395,5.797120024e-09,5.797128984e-09,8.960725318e-15,1,1.362472291e-20,4.757150449e-38,1.096036243e-46,8.960657443e-18,3.0320376e-97,0.9966411453,8.960684744e-18,4.574953204e-29,3.364657624e-06,0.9966411453,8.960655119e-18,3.364657624e-06,4.568004781e-29,3.364646013e-06,0.003358854698,0.003358854707,1.000000006,0.003358854707,0.9999966411,7.220790889e-41,1.362451641e-20,1.362451641e-20,1.362451641e-20,1.671513535e-46,1.362451641e-20,1.362451641e-20,1.362451641e-20,2.068030909e-29,3.13885671e-35,2.068037129e-26,3.138866151e-32,1,1,1,1
5.894485559e-06,5.893573679e-06,50,0.999988212,1.193629882e-100,1.749787952e-11,1000,4.003856519e-14,8.124672169e-20,8.124672169e-20,1,8.124764878e-23,0.9941230301,1.74980387e-08,1.749807874e-08,4.003953883e-14,1,8.124826284e-20,4.977306058e-37,1.47557746e-45,4.003913445e-17,7.818258755e-95,0.9941230475,4.003929749e-17,3.169097655e-28,5.89446802e-06,0.9941230475,4.003909689e-17,5.89446802e-06,3.1632457e-28,5.894432946e-06,0.005876952444,0.005876952484,1.000000017,0.005876952484,0.999994123,8.63811779e-40,8.124672169e-20,8.124672169e-20,8.124672169e-20,3.900433651e-45,8.124672169e-20,8.124672169e-20,8.124672169e-20,1.543620046e-28,2.813935469e-34,1.543625613e-25,2.813945337e-31,1,1,1,1
